"image_path","image_url","category","subcategory","product","suggested_query","url"
"products/laboratoire/produits-chimiques/microscopie.jpg","/assets/images/products/laboratoire/produits-chimiques/microscopie.jpg","Laboratoire","Produits chimiques","Microscopie","Microscopie Produits chimiques biomedical laboratoire produit",""
"products/laboratoire/serologie/kits-serologie.jpg","/assets/images/products/laboratoire/serologie/kits-serologie.jpg","Laboratoire","Serologie","Kits serologie","Kits serologie Serologie biomedical laboratoire produit",""
"products/laboratoire/serologie/reactifs-serologie.jpg","/assets/images/products/laboratoire/serologie/reactifs-serologie.jpg","Laboratoire","Serologie","Reactifs serologie","Reactifs serologie Serologie biomedical laboratoire produit",""
"products/laboratoire/serologie/controles-serologie.jpg","/assets/images/products/laboratoire/serologie/controles-serologie.jpg","Laboratoire","Serologie","Controles serologie","Controles serologie Serologie biomedical laboratoire produit",""
"products/laboratoire/urinaire/bandelettes.jpg","/assets/images/products/laboratoire/urinaire/bandelettes.jpg","Laboratoire","Urinaire","Bandelettes","Bandelettes Urinaire biomedical laboratoire produit",""
"products/laboratoire/urinaire/reactifs-urinaire.jpg","/assets/images/products/laboratoire/urinaire/reactifs-urinaire.jpg","Laboratoire","Urinaire","Reactifs urinaire","Reactifs urinaire Urinaire biomedical laboratoire produit",""
"products/laboratoire/urinaire/controles-urinaire.jpg","/assets/images/products/laboratoire/urinaire/controles-urinaire.jpg","Laboratoire","Urinaire","Controles urinaire","Controles urinaire Urinaire biomedical laboratoire produit",""
"products/medecine/diagnostic/tensiometres.jpg","/assets/images/products/medecine/diagnostic/tensiometres.jpg","Medecine","Diagnostic","Tensiometres","Tensiometres Diagnostic biomedical laboratoire produit",""
"products/medecine/diagnostic/stethoscopes.jpg","/assets/images/products/medecine/diagnostic/stethoscopes.jpg","Medecine","Diagnostic","Stethoscopes","Stethoscopes Diagnostic biomedical laboratoire produit",""
"products/medecine/diagnostic/thermometres.jpg","/assets/images/products/medecine/diagnostic/thermometres.jpg","Medecine","Diagnostic","Thermometres","Thermometres Diagnostic biomedical laboratoire produit",""
"products/medecine/consommables-medicaux/compresses.jpg","/assets/images/products/medecine/consommables-medicaux/compresses.jpg","Medecine","Consommables medicaux","Compresses","Compresses Consommables medicaux biomedical laboratoire produit",""
"products/medecine/consommables-medicaux/pansements.jpg","/assets/images/products/medecine/consommables-medicaux/pansements.jpg","Medecine","Consommables medicaux","Pansements","Pansements Consommables medicaux biomedical laboratoire produit",""
"products/medecine/consommables-medicaux/gants-d-examen.jpg","/assets/images/products/medecine/consommables-medicaux/gants-d-examen.jpg","Medecine","Consommables medicaux","Gants d'examen","Gants d'examen Consommables medicaux biomedical laboratoire produit",""
"products/banque-de-sang/poches-de-sang/poches-simples.jpg","/assets/images/products/banque-de-sang/poches-de-sang/poches-simples.jpg","Banque de sang","Poches de sang","Poches simples","Poches simples Poches de sang biomedical laboratoire produit",""
"products/banque-de-sang/poches-de-sang/poches-doubles.jpg","/assets/images/products/banque-de-sang/poches-de-sang/poches-doubles.jpg","Banque de sang","Poches de sang","Poches doubles","Poches doubles Poches de sang biomedical laboratoire produit",""
"products/banque-de-sang/poches-de-sang/poches-triples.jpg","/assets/images/products/banque-de-sang/poches-de-sang/poches-triples.jpg","Banque de sang","Poches de sang","Poches triples","Poches triples Poches de sang biomedical laboratoire produit",""
"products/banque-de-sang/reactifs-de-groupage/serums-tests.jpg","/assets/images/products/banque-de-sang/reactifs-de-groupage/serums-tests.jpg","Banque de sang","Reactifs de groupage","Serums tests","Serums tests Reactifs de groupage biomedical laboratoire produit",""
"products/banque-de-sang/reactifs-de-groupage/cartes-de-groupage.jpg","/assets/images/products/banque-de-sang/reactifs-de-groupage/cartes-de-groupage.jpg","Banque de sang","Reactifs de groupage","Cartes de groupage","Cartes de groupage Reactifs de groupage biomedical laboratoire produit",""
"products/banque-de-sang/reactifs-de-groupage/reactifs-coombs.jpg","/assets/images/products/banque-de-sang/reactifs-de-groupage/reactifs-coombs.jpg","Banque de sang","Reactifs de groupage","Reactifs Coombs","Reactifs Coombs Reactifs de groupage biomedical laboratoire produit",""
"products/pcr/extraction/kits-d-extraction-adn.jpg","/assets/images/products/pcr/extraction/kits-d-extraction-adn.jpg","PCR","Extraction","Kits d'extraction ADN","Kits d'extraction ADN Extraction biomedical laboratoire produit",""
"products/pcr/extraction/kits-d-extraction-arn.jpg","/assets/images/products/pcr/extraction/kits-d-extraction-arn.jpg","PCR","Extraction","Kits d'extraction ARN","Kits d'extraction ARN Extraction biomedical laboratoire produit",""
"products/pcr/amplification/master-mix.jpg","/assets/images/products/pcr/amplification/master-mix.jpg","PCR","Amplification","Master Mix","Master Mix Amplification biomedical laboratoire produit",""
"products/pcr/amplification/enzymes.jpg","/assets/images/products/pcr/amplification/enzymes.jpg","PCR","Amplification","Enzymes","Enzymes Amplification biomedical laboratoire produit",""
"products/pcr/amplification/consommables-amplification.jpg","/assets/images/products/pcr/amplification/consommables-amplification.jpg","PCR","Amplification","Consommables amplification","Consommables amplification Amplification biomedical laboratoire produit",""
